1024	31726.63
2048	11446.76
4096	5765.79
8192	5699.55
16384	5632.93
32768	5562.51
65536	5545.41
131072	5495.36
262144	5520.78
524288	5770.83
1048576	5601.67
2097152	5546.72
4194304	5575.01
8388608	5598.77
16777216	5448.33
33554432	5441.19
67108864	5971.2
134217728	5515.41
268435456	5440.02
536870912	5410.86
1073741824	5380.47
2147483647	5322.09
2147483647	5699.17
2147483647	5860.82
2147483647	5324.96
2147483647	5589.98
2147483647	5423.33
2147483647	5387.07
2147483647	5379.2
2147483647	5701.3
2147483647	5385.87
